CID,CHEMBL2363273,CHEMBL3888267,CHEMBL3706312,CHEMBL830838,count_Zscore>3.0,min_Zscore,mean_Zscore,max_Zscore
CHEMBL94657,13.497,-1.175,4.296,-2.465,2.0,-2.46,3.54,13.5
CHEMBL2206040,8.986,3.599,1.34,-1.94,2.0,-1.94,3.0,8.99
CHEMBL2220180,8.986,3.599,1.34,-1.94,2.0,-1.94,3.0,8.99
CHEMBL3622647,7.835,3.206,0.138,0.514,2.0,0.14,2.92,7.84
CHEMBL513909,7.066,0.183,4.098,0.108,2.0,0.11,2.86,7.07
CHEMBL2206049,8.867,3.467,1.15,-2.228,2.0,-2.23,2.81,8.87
CHEMBL2220182,8.867,3.467,1.15,-2.228,2.0,-2.23,2.81,8.87
CHEMBL96926,9.399,0.106,4.267,-2.773,2.0,-2.77,2.75,9.4
CHEMBL2206054,8.687,3.324,1.19,-2.219,2.0,-2.22,2.75,8.69
CHEMBL2220129,8.687,3.324,1.19,-2.219,2.0,-2.22,2.75,8.69
CHEMBL2206036,8.892,3.099,1.22,-2.384,2.0,-2.38,2.71,8.89
CHEMBL2220264,8.892,3.099,1.22,-2.384,2.0,-2.38,2.71,8.89
CHEMBL2206035,8.842,3.172,1.23,-2.464,2.0,-2.46,2.7,8.84
CHEMBL2220131,8.842,3.172,1.23,-2.464,2.0,-2.46,2.7,8.84
CHEMBL4591606,6.367,4.639,1.102,-1.36,2.0,-1.36,2.69,6.37
CHEMBL2181593,8.278,3.767,0.865,-2.176,2.0,-2.18,2.68,8.28
CHEMBL2206041,9.019,3.221,0.453,-1.969,2.0,-1.97,2.68,9.02
CHEMBL2219997,9.019,3.221,0.453,-1.969,2.0,-1.97,2.68,9.02
CHEMBL4074633,0.642,3.237,5.55,1.241,2.0,0.64,2.67,5.55
CHEMBL2206051,8.947,3.26,0.694,-2.244,2.0,-2.24,2.66,8.95
CHEMBL2220078,8.947,3.26,0.694,-2.244,2.0,-2.24,2.66,8.95
CHEMBL2206056,9.031,3.067,1.104,-2.581,2.0,-2.58,2.66,9.03
CHEMBL2220181,9.031,3.067,1.104,-2.581,2.0,-2.58,2.66,9.03
CHEMBL2179935,8.45,3.834,0.774,-2.506,2.0,-2.51,2.64,8.45
CHEMBL2206055,8.954,3.005,1.048,-2.496,2.0,-2.5,2.63,8.95
CHEMBL2220055,8.954,3.005,1.048,-2.496,2.0,-2.5,2.63,8.95
CHEMBL3622644,6.086,3.559,1.007,-0.139,2.0,-0.14,2.63,6.09
CHEMBL3786881,7.668,-0.149,-0.955,3.932,2.0,-0.96,2.62,7.67
CHEMBL3787202,7.668,-0.149,-0.955,3.932,2.0,-0.96,2.62,7.67
CHEMBL2163850,1.21,3.376,4.769,1.098,2.0,1.1,2.61,4.77
CHEMBL2022544,8.791,3.024,0.673,-2.043,2.0,-2.04,2.61,8.79
CHEMBL2163842,0.514,3.06,5.554,1.296,2.0,0.51,2.61,5.55
CHEMBL3291069,8.807,3.134,1.376,-2.921,2.0,-2.92,2.6,8.81
CHEMBL2206039,8.946,3.052,0.954,-2.566,2.0,-2.57,2.6,8.95
CHEMBL2220338,8.946,3.052,0.954,-2.566,2.0,-2.57,2.6,8.95
CHEMBL2206032,9.056,3.16,0.798,-2.676,2.0,-2.68,2.58,9.06
CHEMBL2219961,9.056,3.16,0.798,-2.676,2.0,-2.68,2.58,9.06
CHEMBL229631,8.447,3.407,0.826,-2.342,2.0,-2.34,2.58,8.45
CHEMBL2206052,8.917,3.119,0.708,-2.444,2.0,-2.44,2.58,8.92
CHEMBL2220056,8.917,3.119,0.708,-2.444,2.0,-2.44,2.58,8.92
CHEMBL387753,8.278,3.202,1.198,-2.409,2.0,-2.41,2.57,8.28
CHEMBL2163849,0.485,3.747,4.882,1.142,2.0,0.48,2.56,4.88
CHEMBL3400566,8.329,3.691,0.794,-2.621,2.0,-2.62,2.55,8.33
CHEMBL34259,12.778,-1.505,-5.491,4.373,2.0,-5.49,2.54,12.78
CHEMBL376163,8.608,3.073,0.873,-2.404,2.0,-2.4,2.54,8.61
CHEMBL3291068,8.829,3.437,0.841,-3.004,2.0,-3.0,2.53,8.83
CHEMBL4538717,6.847,4.816,-0.105,-1.466,2.0,-1.47,2.52,6.85
CHEMBL2206057,8.882,3.061,0.554,-2.419,2.0,-2.42,2.52,8.88
CHEMBL2220162,8.882,3.061,0.554,-2.419,2.0,-2.42,2.52,8.88
CHEMBL4474373,0.639,3.048,5.042,1.343,2.0,0.64,2.52,5.04
CHEMBL82533,0.327,3.773,5.355,0.616,2.0,0.33,2.52,5.36
CHEMBL315349,0.541,3.187,4.903,1.433,2.0,0.54,2.52,4.9
CHEMBL3291067,8.853,3.317,1.289,-3.398,2.0,-3.4,2.52,8.85
CHEMBL470630,1.214,3.337,4.983,0.513,2.0,0.51,2.51,4.98
CHEMBL4464792,6.326,4.465,0.366,-1.12,2.0,-1.12,2.51,6.33
CHEMBL3358159,-0.23,3.183,5.627,1.453,2.0,-0.23,2.51,5.63
CHEMBL387561,8.271,3.35,1.356,-2.968,2.0,-2.97,2.5,8.27
CHEMBL374593,8.337,3.208,0.719,-2.266,2.0,-2.27,2.5,8.34
CHEMBL2314545,6.702,4.284,1.047,-2.108,2.0,-2.11,2.48,6.7
CHEMBL2163848,0.1,3.48,4.955,1.378,2.0,0.1,2.48,4.96
CHEMBL426362,8.183,3.399,1.029,-2.716,2.0,-2.72,2.47,8.18
CHEMBL269152,8.553,3.044,0.814,-2.521,2.0,-2.52,2.47,8.55
CHEMBL1269229,8.578,3.122,0.088,-1.903,2.0,-1.9,2.47,8.58
CHEMBL4443921,6.277,4.232,0.419,-1.077,2.0,-1.08,2.46,6.28
CHEMBL499674,7.225,3.639,1.006,-2.022,2.0,-2.02,2.46,7.22
CHEMBL508136,7.288,3.442,1.085,-1.972,2.0,-1.97,2.46,7.29
CHEMBL3400567,8.042,3.234,0.663,-2.106,2.0,-2.11,2.46,8.04
CHEMBL228602,8.312,3.343,1.045,-2.879,2.0,-2.88,2.46,8.31
CHEMBL387562,8.094,3.656,1.097,-3.035,2.0,-3.04,2.45,8.09
CHEMBL2181591,8.112,3.372,0.775,-2.474,2.0,-2.47,2.45,8.11
CHEMBL4104890,1.788,3.015,4.36,0.622,2.0,0.62,2.45,4.36
CHEMBL4579324,6.118,4.615,0.358,-1.306,2.0,-1.31,2.45,6.12
CHEMBL4088293,0.874,3.197,4.504,1.205,2.0,0.87,2.44,4.5
CHEMBL503820,6.394,5.186,0.431,-2.246,2.0,-2.25,2.44,6.39
CHEMBL504478,7.442,3.552,0.834,-2.078,2.0,-2.08,2.44,7.44
CHEMBL1190980,8.361,3.253,0.843,-2.708,2.0,-2.71,2.44,8.36
CHEMBL541959,8.361,3.253,0.843,-2.708,2.0,-2.71,2.44,8.36
CHEMBL374591,8.255,3.245,0.655,-2.423,2.0,-2.42,2.43,8.26
CHEMBL450894,7.233,3.19,1.197,-1.89,2.0,-1.89,2.43,7.23
CHEMBL229732,8.186,3.263,1.125,-2.851,2.0,-2.85,2.43,8.19
CHEMBL2022541,8.646,3.078,0.549,-2.565,2.0,-2.56,2.43,8.65
CHEMBL3622645,6.041,3.481,0.31,-0.131,2.0,-0.13,2.42,6.04
CHEMBL4086760,6.583,4.978,0.454,-2.317,2.0,-2.32,2.42,6.58
CHEMBL2407573,8.853,3.002,0.216,-2.384,2.0,-2.38,2.42,8.85
CHEMBL3976338,8.853,3.002,0.216,-2.384,2.0,-2.38,2.42,8.85
CHEMBL388110,8.295,3.356,0.899,-2.878,2.0,-2.88,2.42,8.3
CHEMBL4566981,6.11,4.468,0.385,-1.302,2.0,-1.3,2.42,6.11
CHEMBL500026,6.717,4.273,0.76,-2.104,2.0,-2.1,2.41,6.72
CHEMBL443339,8.312,3.233,0.595,-2.497,2.0,-2.5,2.41,8.31
CHEMBL3622642,6.428,3.197,0.039,-0.03,2.0,-0.03,2.41,6.43
CHEMBL1196255,8.228,3.257,0.77,-2.625,2.0,-2.62,2.41,8.23
CHEMBL556323,8.228,3.257,0.77,-2.625,2.0,-2.62,2.41,8.23
CHEMBL1197213,8.079,3.352,0.651,-2.465,2.0,-2.46,2.4,8.08
CHEMBL507246,7.188,3.57,0.77,-1.913,2.0,-1.91,2.4,7.19
CHEMBL562779,8.079,3.352,0.651,-2.465,2.0,-2.46,2.4,8.08
CHEMBL1196647,8.297,3.171,0.721,-2.578,2.0,-2.58,2.4,8.3
CHEMBL229630,8.16,3.395,0.833,-2.776,2.0,-2.78,2.4,8.16
CHEMBL557752,8.297,3.171,0.721,-2.578,2.0,-2.58,2.4,8.3
CHEMBL2179929,8.399,3.889,0.289,-2.975,2.0,-2.98,2.4,8.4
CHEMBL438481,8.106,3.036,1.086,-2.638,2.0,-2.64,2.4,8.11
CHEMBL446009,7.243,3.471,0.836,-1.974,2.0,-1.97,2.39,7.24
CHEMBL504450,8.339,3.303,0.785,-2.849,2.0,-2.85,2.39,8.34
CHEMBL2022540,8.533,3.13,0.565,-2.66,2.0,-2.66,2.39,8.53
CHEMBL4079268,7.033,3.758,0.717,-1.966,2.0,-1.97,2.39,7.03
CHEMBL449921,8.171,3.392,0.872,-2.896,2.0,-2.9,2.38,8.17
CHEMBL3358161,0.718,3.07,4.479,1.264,2.0,0.72,2.38,4.48
CHEMBL376399,8.162,3.257,0.792,-2.686,2.0,-2.69,2.38,8.16
CHEMBL4099076,7.022,3.779,0.329,-1.605,2.0,-1.6,2.38,7.02
CHEMBL388083,8.359,3.107,0.733,-2.679,2.0,-2.68,2.38,8.36
CHEMBL4076468,6.73,4.637,-0.132,-1.714,2.0,-1.71,2.38,6.73
CHEMBL269150,8.159,3.15,0.858,-2.689,2.0,-2.69,2.37,8.16
CHEMBL509111,6.68,4.161,0.444,-1.803,2.0,-1.8,2.37,6.68
CHEMBL1971084,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL1993495,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL1997382,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL2006949,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL3244634,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL2179931,8.536,3.978,0.003,-3.059,2.0,-3.06,2.36,8.54
CHEMBL3622628,5.213,3.276,1.177,-0.229,2.0,-0.23,2.36,5.21
CHEMBL2179934,8.348,3.809,-0.057,-2.702,2.0,-2.7,2.35,8.35
CHEMBL2022539,8.58,3.024,0.323,-2.536,2.0,-2.54,2.35,8.58
CHEMBL4059773,6.971,4.047,0.336,-1.967,2.0,-1.97,2.35,6.97
CHEMBL504168,6.556,3.98,1.104,-2.256,2.0,-2.26,2.35,6.56
CHEMBL1197248,8.429,3.162,0.633,-2.845,2.0,-2.84,2.35,8.43
CHEMBL563785,8.429,3.162,0.633,-2.845,2.0,-2.84,2.35,8.43
CHEMBL374592,8.068,3.187,0.721,-2.618,2.0,-2.62,2.34,8.07
CHEMBL2179932,8.74,3.006,0.105,-2.499,2.0,-2.5,2.34,8.74
CHEMBL425660,8.261,3.191,0.581,-2.689,2.0,-2.69,2.34,8.26
CHEMBL512673,0.8,3.824,4.495,0.216,2.0,0.22,2.33,4.5
CHEMBL506461,6.639,4.095,0.382,-1.784,2.0,-1.78,2.33,6.64
CHEMBL2179937,8.443,3.561,0.349,-3.032,2.0,-3.03,2.33,8.44
CHEMBL500136,7.326,3.36,0.635,-2.027,2.0,-2.03,2.32,7.33
CHEMBL55775,6.999,-0.541,-1.335,4.165,2.0,-1.34,2.32,7.0
CHEMBL4072028,6.627,3.003,0.393,-0.744,2.0,-0.74,2.32,6.63
CHEMBL526001,7.067,3.347,0.594,-1.739,2.0,-1.74,2.32,7.07
CHEMBL229733,8.651,3.408,0.857,-3.659,2.0,-3.66,2.31,8.65
CHEMBL2407568,8.522,3.404,1.017,-3.685,2.0,-3.68,2.31,8.52
CHEMBL469986,0.791,3.466,4.979,0.005,2.0,0.0,2.31,4.98
CHEMBL524306,8.34,3.07,0.588,-2.761,2.0,-2.76,2.31,8.34
CHEMBL1189282,8.33,3.112,0.539,-2.747,2.0,-2.75,2.31,8.33
CHEMBL538444,8.33,3.112,0.539,-2.747,2.0,-2.75,2.31,8.33
CHEMBL3039521,5.982,4.532,0.099,-1.384,2.0,-1.38,2.31,5.98
CHEMBL4063657,6.958,4.06,0.545,-2.363,2.0,-2.36,2.3,6.96
CHEMBL196415,8.135,-0.977,3.278,-1.249,2.0,-1.25,2.3,8.14
CHEMBL3765810,6.967,3.042,-0.354,-0.478,2.0,-0.48,2.29,6.97
CHEMBL2181587,8.198,3.176,0.498,-2.71,2.0,-2.71,2.29,8.2
CHEMBL3244645,5.494,0.236,-0.746,4.169,2.0,-0.75,2.29,5.49
CHEMBL3400568,8.273,3.56,0.362,-3.042,2.0,-3.04,2.29,8.27
CHEMBL3939127,8.273,3.56,0.362,-3.042,2.0,-3.04,2.29,8.27
CHEMBL4068998,0.024,3.496,4.443,1.177,2.0,0.02,2.28,4.44
CHEMBL4554859,5.835,4.533,0.29,-1.523,2.0,-1.52,2.28,5.84
CHEMBL2181588,8.179,3.174,0.418,-2.64,2.0,-2.64,2.28,8.18
CHEMBL2181592,8.219,3.23,0.437,-2.769,2.0,-2.77,2.28,8.22
CHEMBL396296,7.153,-0.37,-1.52,3.851,2.0,-1.52,2.28,7.15
CHEMBL2407570,8.713,3.301,0.551,-3.459,2.0,-3.46,2.28,8.71
CHEMBL3527569,0.825,3.191,3.523,1.564,2.0,0.82,2.28,3.52
CHEMBL1187355,8.376,3.073,1.035,-3.391,2.0,-3.39,2.27,8.38
CHEMBL4086177,1.348,3.111,4.582,0.05,2.0,0.05,2.27,4.58
CHEMBL500096,8.376,3.073,1.035,-3.391,2.0,-3.39,2.27,8.38
CHEMBL4105610,6.862,3.886,0.319,-1.989,2.0,-1.99,2.27,6.86
CHEMBL2028261,6.754,0.265,-2.296,4.342,2.0,-2.3,2.27,6.75
CHEMBL1195117,8.339,3.138,0.373,-2.79,2.0,-2.79,2.26,8.34
CHEMBL553868,8.339,3.138,0.373,-2.79,2.0,-2.79,2.26,8.34
CHEMBL3400563,8.422,3.789,-0.015,-3.151,2.0,-3.15,2.26,8.42
CHEMBL3930130,8.422,3.789,-0.015,-3.151,2.0,-3.15,2.26,8.42
CHEMBL206545,1.215,3.25,3.41,1.167,2.0,1.17,2.26,3.41
CHEMBL2407567,8.664,3.036,0.727,-3.386,2.0,-3.39,2.26,8.66
CHEMBL446507,6.494,4.204,0.061,-1.72,2.0,-1.72,2.26,6.49
CHEMBL3912241,8.518,3.033,0.022,-2.536,2.0,-2.54,2.26,8.52
CHEMBL470403,0.415,3.422,4.676,0.52,2.0,0.42,2.26,4.68
CHEMBL4073259,0.355,3.011,5.058,0.604,2.0,0.36,2.26,5.06
CHEMBL1195118,8.317,3.212,0.183,-2.689,2.0,-2.69,2.26,8.32
CHEMBL553869,8.317,3.212,0.183,-2.689,2.0,-2.69,2.26,8.32
CHEMBL1269231,8.377,3.115,0.022,-2.495,2.0,-2.5,2.26,8.38
CHEMBL4096932,6.744,4.111,0.617,-2.456,2.0,-2.46,2.25,6.74
CHEMBL1766222,0.627,3.147,5.174,0.062,2.0,0.06,2.25,5.17
CHEMBL4098288,6.882,4.096,0.761,-2.733,2.0,-2.73,2.25,6.88
CHEMBL387752,8.264,3.303,-0.069,-2.498,2.0,-2.5,2.25,8.26
CHEMBL2028592,6.716,-0.478,-1.357,4.116,2.0,-1.36,2.25,6.72
CHEMBL406356,6.77,-0.235,-1.824,4.282,2.0,-1.82,2.25,6.77
CHEMBL2179930,8.512,3.446,-0.172,-2.815,2.0,-2.82,2.24,8.51
CHEMBL443385,7.967,3.45,0.594,-3.04,2.0,-3.04,2.24,7.97
CHEMBL4078904,6.805,3.94,0.518,-2.307,2.0,-2.31,2.24,6.8
CHEMBL3976696,1.071,3.475,3.112,1.287,2.0,1.07,2.24,3.48
CHEMBL4095294,6.868,4.029,0.373,-2.329,2.0,-2.33,2.24,6.87
CHEMBL2314546,6.643,4.081,0.523,-2.315,2.0,-2.32,2.23,6.64
CHEMBL4071807,7.021,3.737,-0.114,-1.717,2.0,-1.72,2.23,7.02
CHEMBL1190976,8.44,3.254,0.159,-2.938,2.0,-2.94,2.23,8.44
CHEMBL541933,8.44,3.254,0.159,-2.938,2.0,-2.94,2.23,8.44
CHEMBL447924,8.31,3.054,0.097,-2.55,2.0,-2.55,2.23,8.31
CHEMBL84002,0.115,3.576,4.379,0.818,2.0,0.12,2.22,4.38
CHEMBL1196648,8.108,3.292,0.382,-2.898,2.0,-2.9,2.22,8.11
CHEMBL557753,8.108,3.292,0.382,-2.898,2.0,-2.9,2.22,8.11
CHEMBL1906488,0.069,3.041,4.04,1.728,2.0,0.07,2.22,4.04
CHEMBL4066571,6.89,3.702,0.514,-2.242,2.0,-2.24,2.22,6.89
CHEMBL3622624,3.969,3.534,2.1,-0.744,2.0,-0.74,2.22,3.97
CHEMBL508443,6.406,3.977,0.391,-1.915,2.0,-1.92,2.22,6.41
CHEMBL1196554,8.409,3.01,0.268,-2.829,2.0,-2.83,2.21,8.41
CHEMBL557394,8.409,3.01,0.268,-2.829,2.0,-2.83,2.21,8.41
CHEMBL157837,6.149,0.107,-1.618,4.213,2.0,-1.62,2.21,6.15
CHEMBL342744,5.992,-0.395,-0.267,3.507,2.0,-0.4,2.21,5.99
CHEMBL3622627,4.705,3.415,1.444,-0.728,2.0,-0.73,2.21,4.7
CHEMBL4071460,6.928,3.56,0.437,-2.095,2.0,-2.1,2.21,6.93
CHEMBL2407571,8.429,3.148,0.827,-3.579,2.0,-3.58,2.21,8.43
CHEMBL503282,8.295,3.045,0.122,-2.64,2.0,-2.64,2.21,8.3
CHEMBL1190979,8.258,3.14,0.051,-2.634,2.0,-2.63,2.2,8.26
CHEMBL510609,6.541,4.037,0.39,-2.153,2.0,-2.15,2.2,6.54
CHEMBL541958,8.258,3.14,0.051,-2.634,2.0,-2.63,2.2,8.26
CHEMBL3960332,5.025,3.363,0.785,-0.371,2.0,-0.37,2.2,5.03
CHEMBL449562,6.779,4.084,0.173,-2.26,2.0,-2.26,2.19,6.78
CHEMBL3542368,1.033,3.011,3.097,1.629,2.0,1.03,2.19,3.1
CHEMBL3765538,6.747,3.043,-0.222,-0.804,2.0,-0.8,2.19,6.75
CHEMBL1187324,8.358,3.349,0.475,-3.424,2.0,-3.42,2.19,8.36
CHEMBL3400569,8.027,3.115,0.321,-2.705,2.0,-2.7,2.19,8.03
CHEMBL3968677,8.027,3.115,0.321,-2.705,2.0,-2.7,2.19,8.03
CHEMBL4068524,6.788,3.833,0.417,-2.28,2.0,-2.28,2.19,6.79
CHEMBL498890,8.358,3.349,0.475,-3.424,2.0,-3.42,2.19,8.36
CHEMBL46656,6.115,0.672,-2.523,4.492,2.0,-2.52,2.19,6.12
CHEMBL2008328,6.671,-0.527,-1.608,4.201,2.0,-1.61,2.18,6.67
CHEMBL4089229,6.764,4.043,0.219,-2.29,2.0,-2.29,2.18,6.76
CHEMBL2009834,6.694,-0.174,-2.181,4.387,2.0,-2.18,2.18,6.69
CHEMBL525414,6.462,4.333,-0.034,-2.055,2.0,-2.06,2.18,6.46
CHEMBL3989418,5.494,4.227,0.715,-1.743,2.0,-1.74,2.17,5.49
CHEMBL4097234,6.705,4.329,-0.042,-2.307,2.0,-2.31,2.17,6.7
CHEMBL3400564,8.456,3.45,0.459,-3.687,2.0,-3.69,2.17,8.46
CHEMBL287050,6.173,0.052,-1.66,4.111,2.0,-1.66,2.17,6.17
CHEMBL2179936,8.251,3.659,0.082,-3.32,2.0,-3.32,2.17,8.25
CHEMBL2179944,6.576,4.14,0.394,-2.437,2.0,-2.44,2.17,6.58
CHEMBL4082738,6.846,3.854,0.28,-2.31,2.0,-2.31,2.17,6.85
CHEMBL4094367,6.906,3.782,-0.183,-1.836,2.0,-1.84,2.17,6.91
CHEMBL3245895,8.234,-1.42,-2.24,4.091,2.0,-2.24,2.17,8.23
CHEMBL3302174,8.234,-1.42,-2.24,4.091,2.0,-2.24,2.17,8.23
CHEMBL503484,6.688,4.101,-0.113,-2.011,2.0,-2.01,2.17,6.69
CHEMBL508944,6.828,3.747,0.367,-2.277,2.0,-2.28,2.17,6.83
CHEMBL4074347,7.103,4.007,0.133,-2.606,2.0,-2.61,2.16,7.1
CHEMBL4074752,6.908,3.84,-0.152,-1.965,2.0,-1.96,2.16,6.91
CHEMBL511004,6.686,4.263,0.084,-2.401,2.0,-2.4,2.16,6.69
CHEMBL2314544,6.961,3.456,0.378,-2.167,2.0,-2.17,2.16,6.96
CHEMBL1766210,0.404,3.057,4.427,0.734,2.0,0.4,2.16,4.43
CHEMBL4088308,6.972,3.737,-0.129,-1.961,2.0,-1.96,2.15,6.97
CHEMBL4103651,6.991,4.073,-0.237,-2.206,2.0,-2.21,2.15,6.99
CHEMBL3400561,8.366,3.289,-0.043,-3.002,2.0,-3.0,2.15,8.37
CHEMBL469562,0.375,3.744,4.307,0.184,2.0,0.18,2.15,4.31
CHEMBL471660,0.375,3.744,4.307,0.184,2.0,0.18,2.15,4.31
CHEMBL511961,0.375,3.744,4.307,0.184,2.0,0.18,2.15,4.31
CHEMBL1888203,1.662,3.206,4.095,-0.372,2.0,-0.37,2.15,4.1
CHEMBL2028352,6.672,-0.626,-1.635,4.172,2.0,-1.64,2.15,6.67
CHEMBL2314537,7.029,3.593,0.683,-2.72,2.0,-2.72,2.15,7.03
CHEMBL3622630,4.32,3.058,1.075,0.125,2.0,0.12,2.14,4.32
CHEMBL2314554,6.657,3.766,0.797,-2.652,2.0,-2.65,2.14,6.66
CHEMBL4087986,6.971,3.964,-0.042,-2.327,2.0,-2.33,2.14,6.97
CHEMBL4102705,6.638,4.142,0.261,-2.477,2.0,-2.48,2.14,6.64
CHEMBL445190,6.588,4.105,0.002,-2.13,2.0,-2.13,2.14,6.59
CHEMBL4070414,6.763,4.064,-0.164,-2.108,2.0,-2.11,2.14,6.76
CHEMBL157083,7.152,-0.021,-2.672,4.084,2.0,-2.67,2.14,7.15
CHEMBL345807,7.152,-0.021,-2.672,4.084,2.0,-2.67,2.14,7.15
CHEMBL347439,7.152,-0.021,-2.672,4.084,2.0,-2.67,2.14,7.15
CHEMBL4084132,7.149,3.864,0.192,-2.663,2.0,-2.66,2.14,7.15
CHEMBL2314558,6.789,3.905,-0.19,-1.977,2.0,-1.98,2.13,6.79
CHEMBL501106,6.468,3.824,0.568,-2.334,2.0,-2.33,2.13,6.47
CHEMBL4071236,7.159,3.781,0.108,-2.523,2.0,-2.52,2.13,7.16
CHEMBL2314540,6.878,3.63,0.714,-2.706,2.0,-2.71,2.13,6.88
CHEMBL4456274,6.264,4.287,0.045,-2.085,2.0,-2.08,2.13,6.26
CHEMBL502425,6.493,4.114,0.052,-2.148,2.0,-2.15,2.13,6.49
CHEMBL4443712,0.604,3.037,3.81,1.041,2.0,0.6,2.12,3.81
CHEMBL4081996,6.852,3.619,-0.015,-1.97,2.0,-1.97,2.12,6.85
CHEMBL454043,8.282,3.004,-0.068,-2.736,2.0,-2.74,2.12,8.28
CHEMBL4092592,7.098,3.544,-0.607,-1.566,2.0,-1.57,2.12,7.1
CHEMBL2314562,6.91,3.619,0.183,-2.249,2.0,-2.25,2.12,6.91
CHEMBL3902380,8.54,3.011,-0.209,-2.884,2.0,-2.88,2.11,8.54
CHEMBL455251,7.138,3.871,-0.77,-1.782,2.0,-1.78,2.11,7.14
CHEMBL3143620,6.617,0.106,-2.651,4.371,2.0,-2.65,2.11,6.62
CHEMBL344876,6.617,0.106,-2.651,4.371,2.0,-2.65,2.11,6.62
CHEMBL2179933,8.44,3.416,-0.177,-3.239,2.0,-3.24,2.11,8.44
CHEMBL192566,6.695,0.393,3.154,-1.807,2.0,-1.81,2.11,6.7
CHEMBL4088054,7.024,3.552,-0.215,-1.939,2.0,-1.94,2.11,7.02
CHEMBL154152,6.754,-0.197,-2.345,4.209,2.0,-2.35,2.1,6.75
CHEMBL351765,6.754,-0.197,-2.345,4.209,2.0,-2.35,2.1,6.75
CHEMBL351766,6.754,-0.197,-2.345,4.209,2.0,-2.35,2.1,6.75
CHEMBL146440,5.778,-0.563,-0.356,3.553,2.0,-0.56,2.1,5.78
CHEMBL507647,6.517,4.158,-0.051,-2.217,2.0,-2.22,2.1,6.52
CHEMBL3348991,6.633,0.393,3.185,-1.807,2.0,-1.81,2.1,6.63
CHEMBL1187552,8.229,3.018,0.382,-3.239,2.0,-3.24,2.1,8.23
CHEMBL508405,8.229,3.018,0.382,-3.239,2.0,-3.24,2.1,8.23
CHEMBL227864,8.435,3.674,-0.46,-3.26,2.0,-3.26,2.1,8.44
CHEMBL3244633,6.106,-0.664,-1.336,4.282,2.0,-1.34,2.1,6.11
CHEMBL4102112,7.166,3.554,0.202,-2.547,2.0,-2.55,2.09,7.17
CHEMBL4065184,6.931,3.718,-0.085,-2.191,2.0,-2.19,2.09,6.93
CHEMBL2314534,7.105,3.904,0.127,-2.766,2.0,-2.77,2.09,7.1
CHEMBL32326,6.71,-0.6,-1.993,4.251,2.0,-1.99,2.09,6.71
CHEMBL25923,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL26326,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL27306,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL28112,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL283062,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL295851,7.635,-0.31,-3.329,4.367,2.0,-3.33,2.09,7.64
CHEMBL3400565,8.166,3.099,0.333,-3.234,2.0,-3.23,2.09,8.17
CHEMBL511290,-0.082,3.377,4.556,0.514,2.0,-0.08,2.09,4.56
CHEMBL2314531,6.965,3.592,0.264,-2.459,2.0,-2.46,2.09,6.96
CHEMBL2314563,6.793,3.602,0.345,-2.381,2.0,-2.38,2.09,6.79
CHEMBL2314566,6.952,3.612,-0.545,-1.657,2.0,-1.66,2.09,6.95
CHEMBL286532,6.222,-0.605,-1.067,3.808,2.0,-1.07,2.09,6.22
CHEMBL1355952,6.68,0.393,3.096,-1.815,2.0,-1.82,2.09,6.68
CHEMBL3229061,6.624,3.661,0.784,-2.713,2.0,-2.71,2.09,6.62
CHEMBL3303339,6.624,3.661,0.784,-2.713,2.0,-2.71,2.09,6.62
CHEMBL1187578,8.258,3.273,0.06,-3.239,2.0,-3.24,2.09,8.26
CHEMBL510266,8.258,3.273,0.06,-3.239,2.0,-3.24,2.09,8.26
CHEMBL206990,0.532,3.055,3.723,1.016,2.0,0.53,2.08,3.72
CHEMBL503541,6.693,3.499,-0.584,-1.292,2.0,-1.29,2.08,6.69
CHEMBL171937,6.512,0.162,-2.761,4.4,2.0,-2.76,2.08,6.51
CHEMBL2311569,6.953,3.605,0.66,-2.91,2.0,-2.91,2.08,6.95
CHEMBL2314559,6.83,3.878,-0.115,-2.291,2.0,-2.29,2.08,6.83
CHEMBL4534285,6.657,0.393,3.061,-1.807,2.0,-1.81,2.08,6.66
CHEMBL50721,0.462,3.383,3.328,1.13,2.0,0.46,2.08,3.38
CHEMBL1182775,6.147,3.846,0.261,-1.971,2.0,-1.97,2.07,6.15
CHEMBL265312,6.147,3.846,0.261,-1.971,2.0,-1.97,2.07,6.15
CHEMBL4099983,6.469,-0.596,-1.179,3.589,2.0,-1.18,2.07,6.47
CHEMBL366371,6.191,0.268,3.128,-1.315,2.0,-1.32,2.07,6.19
CHEMBL502757,6.659,3.702,-0.173,-1.922,2.0,-1.92,2.07,6.66
